"FOLIO","VIV_SEL","HOGAR","N_REN","CONSEC","P7_16","P7_17","P7_18","P7_19","P7_20","P7_21","P7_22_1","P7_22_2","P7_23","EDIS","UPM_DIS","FACTOR","ESTRATO","TLOC"
"0016640","13","1","07","01","4","","","","","","","","","393","0003211",1660,"1","2"
"0016671","11","1","02","01","4","","","","","","","","","394","0003215",1120,"1","3"
"0016696","19","1","01","01","2","0027000","00880","24","06","0005200","99","9","00","395","0003216",1602,"1","3"
"0016728","12","2","01","01","4","","","","","","","","","394","0003219",1076,"1","3"
"0016738","05","1","01","01","3","0029000","01300","30","16","0018000","99","9","00","395","0003220",1812,"2","3"
"0016738","05","1","02","01","3","0028000","01400","24","18","0025000","03","0","00","395","0003220",1812,"2","3"
"0016742","09","1","02","01","4","","","","","","","","","395","0003220",1812,"2","3"
"0016742","09","1","03","01","4","","","","","","","","","395","0003220",1812,"2","3"
"0016759","12","1","02","01","4","","","","","","","","","396","0003221",1458,"2","4"
"0016783","20","1","02","01","4","","","","","","","","","396","0003222",1494,"1","4"
"0016837","01","1","01","01","4","","","","","","","","","400","0003230",1225,"2","1"
"0016842","03","1","01","01","4","","","","","","","","","400","0003231",1390,"2","1"
"0016849","05","1","02","01","4","","","","","","","","","401","0003233",509,"3","1"
"0016877","02","1","03","01","1","0030000","01000","24","99","0010000","99","9","00","399","0003241",156,"4","1"
"0016898","01","1","03","01","4","","","","","","","","","397","0003249",1028,"2","1"
"0016951","02","1","01","01","3","0030000","02500","18","16","0025000","10","0","00","399","0003261",184,"4","1"
"0017051","11","1","01","01","1","0021000","01300","18","11","0019000","99","9","00","402","0003288",1311,"2","2"
"0017078","09","1","01","01","4","","","","","","","","","403","0003290",789,"3","2"
"0017086","18","1","01","01","4","","","","","","","","","403","0003290",789,"3","2"
"0017187","16","1","01","01","1","0060000","02800","36","28","0045000","99","9","00","404","0003296",892,"2","3"
"0017258","14","1","03","01","4","","","","","","","","","407","0003300",879,"2","4"
"0017267","05","1","03","01","1","0023000","01400","16","12","0014000","99","9","00","406","0003301",701,"1","4"
"0017270","08","1","03","01","2","0019000","01400","19","09","0008000","99","9","00","406","0003301",701,"1","4"
"0017271","09","1","02","01","4","","","","","","","","","406","0003301",701,"1","4"
"0017274","14","1","01","01","4","","","","","","","","","406","0003301",701,"1","4"
"0017296","15","1","01","01","4","","","","","","","","","407","0003302",1087,"2","4"
"0017308","08","1","03","01","4","","","","","","","","","407","0003303",978,"2","4"
"0017345","12","1","01","01","3","0028000","01450","18","04","0007000","99","9","00","406","0003305",1293,"1","4"
"0017368","17","1","03","01","4","","","","","","","","","407","0003306",821,"2","4"
"0017371","20","1","05","01","4","","","","","","","","","407","0003306",821,"2","4"
