"FOLIO","VIV_SEL","HOGAR","N_REN","CONSEC","P8_49","P8_50","P8_51_1","P8_51_2","P8_52","P8_53_1","P8_53_2","P8_54_1","P8_54_2","EDIS","UPM_DIS","FACTOR","ESTRATO","TLOC"
"0004915","01","1","03","02","010000","01700","05","0","00","00","04","00","04","100","0001025",961,"3","1"
"0004927","04","1","01","01","001200","02800","01","5","00","00","04","00","01","100","0001029",921,"3","1"
"0004927","04","1","04","01","005000","01200","04","0","00","00","04","00","01","100","0001029",921,"3","1"
"0005005","05","1","03","01","005000","02000","99","9","00","00","04","00","03","101","0001054",486,"4","1"
"0005011","04","1","01","01","005200","01600","99","9","00","00","05","00","04","101","0001057",481,"4","1"
"0005011","04","1","02","01","004000","03200","03","0","00","00","04","00","03","101","0001057",481,"4","1"
"0005018","03","1","02","01","010000","02800","07","0","00","00","04","00","02","099","0001059",1691,"2","1"
"0005018","03","1","02","02","001500","00350","02","0","00","00","03","00","03","099","0001059",1691,"2","1"
"0005018","03","1","04","01","007000","01800","16","0","00","00","04","00","01","099","0001059",1691,"2","1"
"0005018","03","1","04","02","005000","01200","16","0","00","00","04","00","02","099","0001059",1691,"2","1"
"0005046","03","1","01","01","014000","06800","72","0","00","00","04","00","01","102","0001070",1509,"2","1"
"0005073","02","1","02","01","000400","00400","04","0","00","00","04","00","01","103","0001078",1473,"3","1"
"0005102","01","1","02","01","005300","01252","99","9","00","01","08","00","09","104","0001088",377,"4","1"
"0005107","02","1","02","01","005000","00800","99","9","00","00","04","00","03","102","0001089",1341,"2","1"
"0005118","01","1","02","01","014000","03500","99","9","00","00","04","00","01","105","0001093",2486,"2","2"
"0005120","03","1","02","01","003000","00069","99","9","00","00","04","00","01","105","0001093",2486,"2","2"
"0005136","14","1","01","01","004500","01340","99","9","00","09","04","09","04","106","0001096",1594,"2","2"
"0005136","14","1","01","02","009000","00706","99","9","00","09","05","09","05","106","0001096",1594,"2","2"
"0005137","15","1","01","01","012000","03400","99","9","00","00","05","00","04","106","0001096",1594,"2","2"
"0005145","04","1","02","01","003500","00920","99","9","00","00","05","00","01","106","0001097",1245,"2","3"
"0005150","11","1","01","01","004000","00820","03","0","00","00","04","00","01","106","0001097",1245,"2","3"
"0005153","15","1","02","01","000500","02000","99","9","00","00","03","00","02","106","0001097",1245,"2","3"
"0005154","16","1","01","01","012000","01620","60","0","00","00","04","00","02","106","0001097",1245,"2","3"
"0005158","20","1","01","01","005000","01500","99","9","00","00","04","00","03","106","0001097",1245,"2","3"
"0005171","16","1","03","01","002000","01600","99","9","00","00","04","00","02","106","0001098",1314,"2","3"
"0005178","04","1","02","01","007000","02400","03","0","00","00","04","00","03","106","0001099",1264,"2","3"
"0005200","18","1","01","01","005000","02000","99","9","00","00","04","00","01","108","0001100",1549,"2","4"
"0005201","19","1","01","01","003000","01040","99","9","00","00","03","00","02","108","0001100",1549,"2","4"
"0005211","09","1","02","01","006000","15000","10","0","00","00","04","00","01","107","0001101",1321,"1","4"
"0005212","10","1","02","01","000190","00190","99","9","00","00","04","00","01","107","0001101",1321,"1","4"
"0005214","12","1","02","01","001600","01600","99","9","00","00","04","00","01","107","0001101",1321,"1","4"
"0005222","04","1","02","01","003000","00800","99","9","00","00","04","00","03","107","0001102",1459,"1","4"
"0005224","07","1","01","01","001300","00360","70","0","00","00","04","00","01","107","0001102",1459,"1","4"
"0005224","07","1","02","01","004000","00480","99","9","00","00","04","00","03","107","0001102",1459,"1","4"
"0005258","09","1","01","01","005000","01512","03","0","00","00","04","00","04","108","0001104",1144,"2","4"
"0005262","16","1","05","01","002000","00880","20","0","00","00","04","00","02","108","0001104",1144,"2","4"
"0005271","13","1","02","01","005000","01556","99","9","00","00","03","00","01","107","0001105",1495,"1","4"
"0005446","03","1","01","01","008000","01400","99","9","02","01","00","00","03","110","0001151",2385,"3","1"
"0005466","04","1","01","01","003500","02800","02","5","00","00","04","00","01","109","0001156",1872,"2","1"
"0005517","01","1","03","01","009000","00800","99","9","00","00","03","00","01","109","0001172",2666,"2","1"
"0005569","04","2","02","01","006000","01300","99","9","00","00","05","00","05","123","0001184",3010,"3","2"
"0005618","02","1","02","01","006000","01600","99","9","00","00","04","00","03","121","0001189",3489,"2","2"
"0005618","02","1","03","01","008000","03200","99","9","00","00","04","00","03","121","0001189",3489,"2","2"
