"FOLIO","VIV_SEL","HOGAR","N_REN","CONSEC","P8_12","P8_13","P8_14_1","P8_14_2","P8_15","P8_16","EDIS","UPM_DIS","FACTOR","ESTRATO","TLOC"
"0000474","08","1","01","01","7","00500","99","9","003000","00","007","0000112",786,"2","4"
"0000474","08","1","02","01","3","00500","00","5","001000","00","007","0000112",786,"2","4"
"0000477","11","1","02","01","3","00640","99","9","005000","00","007","0000112",786,"2","4"
"0000481","15","1","02","01","7","00130","99","9","001100","00","007","0000112",786,"2","4"
"0000487","01","1","03","01","3","00400","99","9","002000","03","007","0000113",718,"2","4"
"0000488","02","1","02","01","3","00110","99","9","002000","12","007","0000113",718,"2","4"
"0000490","04","1","01","01","3","00480","99","9","003800","00","007","0000113",718,"2","4"
"0000491","05","1","02","01","3","00180","99","9","001000","00","007","0000113",718,"2","4"
"0000493","07","1","01","01","9","01100","99","9","012000","00","007","0000113",718,"2","4"
"0000503","20","1","02","01","3","00500","99","9","003000","00","007","0000113",718,"2","4"
"0000506","02","1","04","01","3","00800","99","9","007000","04","007","0000114",921,"2","4"
"0000506","02","1","04","02","7","01300","99","9","006000","03","007","0000114",921,"2","4"
"0000513","09","2","02","01","3","99999","99","9","002000","04","007","0000114",921,"2","4"
"0000521","18","1","02","01","3","00000","99","9","999999","12","007","0000114",921,"2","4"
"0000523","20","1","02","01","3","00140","99","9","000700","00","007","0000114",921,"2","4"
"0000524","01","1","02","01","3","00361","99","9","003800","00","007","0000115",810,"2","4"
"0000525","02","1","02","01","3","99999","99","9","999999","00","007","0000115",810,"2","4"
"0000530","07","1","01","01","7","00900","99","9","008800","00","007","0000115",810,"2","4"
"0000530","07","1","02","01","3","00075","99","9","000125","00","007","0000115",810,"2","4"
"0000530","07","1","04","01","7","01500","99","9","011500","00","007","0000115",810,"2","4"
"0000531","08","1","02","01","3","00500","99","9","005000","00","007","0000115",810,"2","4"
"0000532","09","1","02","01","3","01800","99","9","006200","00","007","0000115",810,"2","4"
"0000533","10","1","04","01","3","00400","99","9","999999","00","007","0000115",810,"2","4"
"0000538","15","1","01","01","3","00250","99","9","003000","03","007","0000115",810,"2","4"
"0000538","15","1","01","02","7","00210","99","9","006222","00","007","0000115",810,"2","4"
"0000539","16","1","01","01","3","01900","99","9","008000","00","007","0000115",810,"2","4"
"0000539","16","2","02","01","3","00310","99","9","999999","02","007","0000115",810,"2","4"
"0000541","18","1","01","01","3","00370","99","9","001500","00","007","0000115",810,"2","4"
"0000549","03","1","01","01","3","00100","99","9","000200","00","017","0000117",1238,"4","1"
"0000549","03","1","02","01","3","00200","99","9","000500","00","017","0000117",1238,"4","1"
"0000551","02","1","01","01","3","01200","42","0","006000","00","016","0000118",5294,"3","1"
"0000552","04","1","01","01","3","00800","99","9","000300","01","016","0000118",5294,"3","1"
"0000555","02","1","02","01","2","00300","58","0","003000","00","017","0000123",1207,"4","1"
"0000556","03","1","04","01","3","00800","99","9","004000","00","017","0000123",1207,"4","1"
"0000558","05","1","02","01","2","00900","99","9","000900","00","016","0000124",5464,"3","1"
"0000560","05","1","02","01","3","00320","00","7","005000","04","015","0000125",4276,"2","1"
"0000561","01","1","02","01","3","00500","03","0","002500","00","016","0000126",4625,"3","1"
"0000563","01","1","01","01","2","01500","99","9","999999","99","017","0000127",1441,"4","1"
"0000564","01","1","01","01","7","00700","99","9","007000","00","017","0000128",1408,"4","1"
"0000565","02","1","01","01","3","01000","99","9","003000","03","017","0000128",1408,"4","1"
"0000567","04","1","01","01","7","00424","99","9","000000","01","017","0000128",1408,"4","1"
"0000567","04","1","02","01","7","01200","99","9","011000","00","017","0000128",1408,"4","1"
"0000569","01","1","02","01","2","00620","99","9","003500","00","015","0000129",3833,"2","1"
"0000570","02","1","01","01","3","00000","99","9","002500","05","015","0000129",3833,"2","1"
"0000570","02","1","01","02","7","00000","99","9","004000","06","015","0000129",3833,"2","1"
"0000570","02","1","03","01","3","01500","99","9","001500","01","015","0000129",3833,"2","1"
"0000573","05","1","02","01","3","00000","99","9","999999","12","015","0000129",3833,"2","1"
"0000575","02","1","02","01","9","00000","99","9","999999","12","017","0000130",1164,"4","1"
"0000577","02","1","03","01","3","00000","99","9","004000","02","013","0000131",2084,"3","1"
"0000580","01","1","02","01","3","00370","99","9","001200","00","013","0000132",1590,"3","1"
"0000582","03","1","01","01","2","02000","99","9","020000","04","013","0000132",1590,"3","1"
"0000583","04","1","01","01","3","00600","99","9","016000","02","013","0000132",1590,"3","1"
"0000584","01","1","02","01","2","00700","99","9","003200","00","014","0000133",1320,"4","1"
"0000588","05","1","04","01","3","00400","99","9","000700","02","014","0000133",1320,"4","1"
"0000594","05","1","01","01","1","00380","99","9","001000","00","014","0000135",1262,"4","1"
"0000594","05","1","01","02","1","01900","06","0","002000","00","014","0000135",1262,"4","1"
"0000599","01","1","02","01","3","00360","99","9","000700","01","013","0000137",2079,"3","1"
"0000603","02","1","01","01","3","00000","99","9","999999","03","013","0000138",1828,"3","1"
"0000603","02","1","01","02","7","00700","99","9","004700","02","013","0000138",1828,"3","1"
"0000603","02","1","01","03","7","00000","99","9","000000","00","013","0000138",1828,"3","1"
"0000611","03","1","01","01","9","00850","99","9","010000","00","014","0000141",1252,"4","1"
"0000611","03","1","02","01","3","00000","99","9","001000","00","014","0000141",1252,"4","1"
"0000612","05","1","04","01","3","00700","08","6","000700","01","014","0000141",1252,"4","1"
"0000613","01","1","01","01","3","00150","99","9","000500","00","013","0000142",1047,"3","1"
"0000613","01","1","02","01","3","00700","99","9","004000","00","013","0000142",1047,"3","1"
"0000613","01","1","02","02","2","01100","99","9","003000","00","013","0000142",1047,"3","1"
"0000614","02","1","04","01","3","00000","99","9","000000","00","013","0000142",1047,"3","1"
"0000616","04","1","02","01","3","00000","99","9","003000","04","013","0000142",1047,"3","1"
"0000620","03","1","01","01","1","01200","99","9","002000","02","013","0000143",2341,"3","1"
"0000625","05","1","01","01","9","00800","25","0","006000","00","014","0000144",1575,"4","1"
"0000628","05","1","02","01","3","00000","99","9","005000","12","013","0000145",2609,"3","1"
"0000630","02","1","01","01","3","01000","99","9","001000","00","013","0000146",2153,"3","1"
"0000630","02","1","02","01","3","00500","99","9","001500","00","013","0000146",2153,"3","1"
"0000632","04","1","01","01","3","00000","99","9","000000","00","013","0000146",2153,"3","1"
"0000637","03","1","02","01","2","00270","99","0","001000","00","013","0000148",2278,"3","1"
"0000638","04","1","02","01","3","00390","99","9","000390","00","013","0000148",2278,"3","1"
"0000638","04","1","03","01","3","02000","99","0","001800","00","013","0000148",2278,"3","1"
"0000639","05","1","01","01","3","00700","99","0","004000","00","013","0000148",2278,"3","1"
"0000640","01","1","02","01","3","00350","99","9","007000","04","013","0000149",2069,"3","1"
"0000645","02","1","01","01","1","00800","99","9","002000","00","014","0000150",1288,"4","1"
"0000646","03","1","02","01","3","99999","99","9","000830","00","014","0000150",1288,"4","1"
"0000652","05","1","01","01","3","00000","99","9","018000","00","013","0000151",2039,"3","1"
"0000653","01","1","02","01","3","00000","99","9","999999","99","012","0000152",2550,"2","1"
"0000654","02","1","01","01","3","00700","99","9","002000","00","012","0000152",2550,"2","1"
"0000654","02","1","02","01","3","00000","99","9","001800","03","012","0000152",2550,"2","1"
"0000657","01","1","01","01","3","02500","99","9","999999","02","012","0000153",2654,"2","1"
"0000657","01","1","02","01","3","99999","99","9","999999","00","012","0000153",2654,"2","1"
"0000658","02","1","01","01","3","00000","99","9","006500","04","012","0000153",2654,"2","1"
"0000663","04","1","02","01","3","05000","99","9","066000","00","013","0000154",2071,"3","1"
"0000665","01","1","02","01","3","00000","99","0","002000","00","014","0000155",1253,"4","1"
"0000666","03","1","01","01","3","01100","99","0","020000","00","014","0000155",1253,"4","1"
"0000669","01","1","01","01","3","01000","99","9","020000","03","012","0000156",2579,"2","1"
"0000669","01","1","02","01","3","00300","99","9","999999","05","012","0000156",2579,"2","1"
"0000670","03","1","01","01","3","00120","99","9","001200","01","012","0000156",2579,"2","1"
"0000670","03","1","01","02","7","01300","00","8","008900","01","012","0000156",2579,"2","1"
"0000672","05","1","01","01","3","00800","99","9","002500","01","012","0000156",2579,"2","1"
"0000673","02","1","02","01","1","01000","60","0","004000","00","014","0000157",1185,"4","1"
"0000677","05","1","02","01","3","00000","99","0","010000","00","014","0000158",1095,"4","1"
"0000677","05","1","03","01","7","00000","99","0","001500","00","014","0000158",1095,"4","1"
"0000677","05","1","04","01","3","00500","99","0","003500","04","014","0000158",1095,"4","1"
"0000677","05","1","05","01","3","00530","99","0","001800","00","014","0000158",1095,"4","1"
"0000678","01","1","01","01","1","01000","99","9","004000","00","014","0000159",1303,"4","1"
"0000680","04","1","01","01","1","01200","99","9","009000","00","014","0000159",1303,"4","1"
"0000683","04","1","01","01","3","01800","99","9","005000","02","014","0000160",1340,"4","1"
"0000683","04","1","02","01","3","01300","99","9","007450","00","014","0000160",1340,"4","1"
"0000684","01","1","03","01","3","00300","99","9","000900","00","012","0000161",2701,"2","1"
"0000685","02","1","01","01","7","00500","10","0","003900","00","012","0000161",2701,"2","1"
"0000685","02","1","02","01","3","00890","99","0","005000","03","012","0000161",2701,"2","1"
"0000686","03","1","04","01","3","00200","99","9","001200","01","012","0000161",2701,"2","1"
"0000688","05","1","02","01","3","00000","99","9","013981","04","012","0000161",2701,"2","1"
"0000690","04","1","01","01","3","00000","99","9","000300","01","012","0000162",2648,"2","1"
"0000691","05","1","01","01","3","00990","18","0","005700","03","012","0000162",2648,"2","1"
"0000691","05","1","02","01","3","01000","08","0","007500","00","012","0000162",2648,"2","1"
