"FOLIO","VIV_SEL","HOGAR","N_INF","P2_9","P2_10","EDIS","UPM_DIS","FAC_HOG","ESTRATO","TLOC"
"0000155","02","1","01","","01","002","0000043",717,"3","1"
"0000156","03","1","01","","01","002","0000043",717,"3","1"
"0000157","05","1","03","","01","002","0000043",717,"3","1"
"0000158","02","1","01","1","01","001","0000044",1198,"2","1"
"0000158","02","2","02","2","","001","0000044",1198,"2","1"
"0000158","02","3","01","2","","001","0000044",1198,"2","1"
"0000159","04","1","01","1","01","001","0000044",1198,"2","1"
"0000159","04","2","01","2","","001","0000044",1198,"2","1"
"0000160","05","1","01","","01","001","0000044",1198,"2","1"
"0000161","01","1","01","","01","002","0000045",715,"3","1"
"0000162","02","1","01","","01","002","0000045",715,"3","1"
"0000163","03","1","02","","01","002","0000045",715,"3","1"
"0000164","04","1","01","","01","002","0000045",715,"3","1"
"0000165","05","1","01","","01","002","0000045",715,"3","1"
"0000166","02","1","02","","02","001","0000046",1080,"2","1"
"0000167","03","1","01","","01","001","0000046",1080,"2","1"
"0000168","04","1","01","","01","001","0000046",1080,"2","1"
"0000169","05","1","01","","01","001","0000046",1080,"2","1"
"0000170","01","1","02","","02","001","0000047",1061,"2","1"
"0000171","02","1","01","","01","001","0000047",1061,"2","1"
"0000172","03","1","01","","01","001","0000047",1061,"2","1"
"0000173","04","1","01","","01","001","0000047",1061,"2","1"
"0000174","05","1","01","","01","001","0000047",1061,"2","1"
"0000175","02","1","02","","02","002","0000048",651,"3","1"
"0000176","03","1","01","","01","002","0000048",651,"3","1"
"0000177","05","1","02","","02","002","0000048",651,"3","1"
"0000178","02","1","01","","01","003","0000049",360,"4","1"
"0000179","04","1","02","","02","003","0000049",360,"4","1"
"0000180","01","1","01","","01","002","0000050",632,"3","1"
"0000181","02","1","02","","01","002","0000050",632,"3","1"
"0000182","05","1","04","","01","002","0000050",632,"3","1"
"0000183","01","1","01","","01","002","0000051",671,"3","1"
"0000184","02","1","03","","01","002","0000051",671,"3","1"
"0000185","03","1","01","","01","002","0000051",671,"3","1"
"0000186","05","1","01","","01","002","0000051",671,"3","1"
"0000187","01","1","02","","01","001","0000052",1044,"2","1"
"0000188","02","1","01","","01","001","0000052",1044,"2","1"
"0000189","03","1","01","","01","001","0000052",1044,"2","1"
"0000190","04","1","02","","02","001","0000052",1044,"2","1"
"0000191","05","1","01","","01","001","0000052",1044,"2","1"
"0000192","01","1","01","","01","001","0000053",1058,"2","1"
"0000193","03","1","02","","02","001","0000053",1058,"2","1"
"0000194","05","1","04","","02","001","0000053",1058,"2","1"
"0000195","02","1","03","","03","001","0000054",1027,"2","1"
"0000196","03","1","01","","01","001","0000054",1027,"2","1"
"0000197","04","1","04","","02","001","0000054",1027,"2","1"
"0000198","05","1","01","1","01","001","0000054",1027,"2","1"
"0000198","05","2","01","2","","001","0000054",1027,"2","1"
"0000199","02","1","01","1","01","003","0000055",401,"4","1"
"0000199","02","2","01","2","","003","0000055",401,"4","1"
"0000200","03","1","01","","01","003","0000055",401,"4","1"
"0000201","04","1","01","","01","003","0000055",401,"4","1"
"0000202","05","1","01","","01","003","0000055",401,"4","1"
"0000203","03","1","03","","03","003","0000056",442,"4","1"
"0000204","01","1","01","","01","003","0000057",363,"4","1"
"0000205","01","1","01","","01","002","0000058",643,"3","1"
"0000206","02","1","02","","02","002","0000058",643,"3","1"
"0000207","04","1","01","","01","002","0000058",643,"3","1"
"0000208","01","1","03","","01","002","0000059",561,"3","1"
"0000209","02","1","01","","02","002","0000059",561,"3","1"
"0000210","03","1","01","","01","002","0000059",561,"3","1"
"0000211","01","1","01","","01","003","0000060",397,"4","1"
"0000212","04","1","02","","02","003","0000060",397,"4","1"
"0000213","05","1","01","","01","003","0000060",397,"4","1"
"0000214","01","1","02","","01","002","0000061",724,"3","1"
"0000215","02","1","01","","01","002","0000061",724,"3","1"
"0000216","03","1","01","","02","002","0000061",724,"3","1"
"0000217","04","1","06","","07","002","0000061",724,"3","1"
"0000218","05","1","02","","01","002","0000061",724,"3","1"
"0000219","01","1","01","","01","002","0000062",713,"3","1"
"0000220","02","1","02","","02","002","0000062",713,"3","1"
"0000221","03","1","01","","01","002","0000062",713,"3","1"
"0000222","05","1","01","","01","002","0000062",713,"3","1"
"0000223","01","1","01","","01","002","0000063",630,"3","1"
"0000224","02","1","01","","01","002","0000063",630,"3","1"
"0000225","04","1","02","","02","002","0000063",630,"3","1"
"0000226","02","1","02","","01","002","0000064",625,"3","1"
"0000227","03","1","01","","01","002","0000064",625,"3","1"
"0000228","04","1","01","","01","002","0000064",625,"3","1"
"0000229","05","1","03","","01","002","0000064",625,"3","1"
"0000230","01","1","02","","02","001","0000065",1125,"2","1"
"0000231","02","1","01","","01","001","0000065",1125,"2","1"
"0000232","03","1","03","","01","001","0000065",1125,"2","1"
"0000233","04","1","02","","01","001","0000065",1125,"2","1"
"0000234","02","1","05","","02","002","0000066",699,"3","1"
"0000235","04","1","01","","01","002","0000066",699,"3","1"
"0000236","05","1","01","","01","002","0000066",699,"3","1"
"0000237","01","1","02","","01","002","0000067",642,"3","1"
"0000238","02","1","01","","01","002","0000067",642,"3","1"
"0000239","03","1","02","","02","002","0000067",642,"3","1"
"0000240","04","1","01","","01","002","0000067",642,"3","1"
"0000241","05","1","01","","01","002","0000067",642,"3","1"
"0000242","01","1","01","","01","003","0000068",393,"4","1"
"0000243","02","1","02","","02","003","0000068",393,"4","1"
"0000244","03","1","01","","01","003","0000068",393,"4","1"
"0000245","04","1","01","","01","003","0000068",393,"4","1"
"0000246","05","1","01","","01","003","0000068",393,"4","1"
