"FOLIO","VIV_SEL","HOGAR","N_REN","CONSEC","P7_7","P7_8","P7_9","P7_10","P7_11","P7_12","P7_13_1","P7_13_2","P7_14","EDIS","UPM_DIS","FACTOR","ESTRATO","TLOC"
"0001648","05","1","01","01","1","0200000","02500","48","24","0100000","99","9","00","034","0000327",86,"4","1"
"0001676","03","1","01","01","4","","","","","","","","","033","0000335",247,"3","1"
"0001687","01","1","01","01","2","0200000","08000","48","38","0000180","99","9","00","034","0000338",127,"4","1"
"0001690","05","1","02","01","1","0150000","03000","60","02","9999999","99","9","00","034","0000338",127,"4","1"
"0001693","03","1","01","01","2","0249000","05700","72","48","0193000","12","0","00","033","0000339",325,"3","1"
"0001697","02","1","03","01","1","0250000","05000","60","32","9999999","99","9","01","033","0000341",338,"3","1"
"0001714","04","1","01","01","2","0100000","05500","60","54","0080000","99","9","00","033","0000345",297,"3","1"
"0001724","04","1","02","01","1","0430000","04980","60","20","0100000","99","9","00","033","0000348",328,"3","1"
"0001749","02","1","02","01","1","0160000","03741","60","18","0070000","14","0","00","032","0000354",540,"2","1"
"0001752","05","1","01","01","1","0260000","06000","60","30","0130000","99","9","00","032","0000354",540,"2","1"
"0001770","02","1","01","01","1","0120000","02800","60","36","0095000","99","9","03","032","0000360",523,"2","1"
"0001788","03","1","01","01","2","0200000","03500","60","15","0080000","99","9","00","034","0000364",83,"4","1"
"0001794","05","1","02","01","1","0150000","04000","72","48","0100000","99","9","00","034","0000365",131,"4","1"
"0001800","02","1","02","01","1","0165000","03300","60","02","0006000","13","9","03","034","0000367",137,"4","1"
"0001811","02","1","01","01","1","0280000","05560","48","24","9999999","99","9","00","034","0000370",159,"4","1"
"0001830","02","1","02","01","1","0160000","03000","60","03","0019000","99","9","00","032","0000375",561,"2","1"
"0001841","03","1","02","01","1","0437000","09700","48","42","0400000","99","9","00","036","0000378",590,"2","1"
"0001855","02","1","03","01","1","0170000","05900","48","36","0170000","99","9","01","036","0000383",823,"2","1"
"0001857","05","1","03","01","1","0340000","05600","60","24","9999999","99","9","04","036","0000383",823,"2","1"
"0001880","02","1","02","01","2","0150000","05000","48","12","0060000","99","9","00","038","0000391",305,"4","1"
"0001909","05","1","01","01","9","","","","","","","","","038","0000400",273,"4","1"
"0001911","02","1","01","01","3","0350000","08500","36","34","0350000","99","9","00","038","0000401",225,"4","1"
"0001912","05","1","01","01","3","0370000","04500","48","36","0150000","99","9","01","038","0000401",225,"4","1"
"0001920","02","1","01","01","4","","","","","","","","","038","0000405",285,"4","1"
"0001926","04","1","01","01","3","0300000","14000","60","12","0168000","99","9","01","038","0000406",248,"4","1"
"0001929","01","1","02","01","2","0450000","04000","60","12","0050000","11","0","00","038","0000408",267,"4","1"
"0001967","17","1","01","01","1","0200000","03500","60","48","0150000","99","9","00","039","0000412",536,"2","2"
"0002004","15","1","01","01","1","0240000","04000","60","48","0192000","99","9","00","040","0000415",586,"2","3"
"0002056","12","1","01","01","1","0300000","05000","60","12","0072000","10","0","00","041","0000421",667,"1","4"
"0002110","14","1","02","01","2","0180000","03700","56","24","0100000","99","9","00","041","0000424",691,"1","4"
"0002147","02","1","01","01","2","0285000","06000","60","57","0267000","99","9","00","056","0000427",1973,"3","1"
"0002170","01","1","02","01","1","0300000","05000","48","18","9999999","04","6","03","051","0000433",1139,"4","1"
"0002172","04","1","02","01","1","0480000","07000","60","58","0466000","99","9","00","051","0000433",1139,"4","1"
"0002177","04","1","02","01","1","0250000","04700","48","36","9999999","99","9","00","051","0000436",974,"4","1"
"0002187","03","1","02","01","2","0280000","05000","60","48","0190000","04","0","00","050","0000439",1272,"3","1"
"0002193","04","1","02","01","9","","","","","","","","","050","0000441",2173,"3","1"
"0002215","04","1","02","01","1","9999999","99999","99","99","9999999","99","9","00","054","0000447",1715,"4","1"
"0002218","03","1","02","01","1","0220000","05400","60","48","0180000","99","9","00","054","0000448",1963,"3","1"
"0002222","02","1","01","01","4","","","","","","","","","053","0000450",2648,"2","1"
"0002250","02","1","02","01","1","0300000","06000","48","12","0080000","99","9","00","044","0000459",1147,"4","1"
"0002257","05","1","01","01","2","0065000","04000","24","01","0004000","99","9","00","043","0000460",1447,"3","1"
"0002267","01","1","01","01","1","0220000","05000","36","18","0150000","99","9","00","044","0000464",1333,"4","1"
"0002272","01","1","01","01","4","","","","","","","","","043","0000465",1454,"3","1"
"0002277","04","1","02","01","4","","","","","","","","","044","0000466",1450,"4","1"
"0002281","05","1","01","01","1","9999999","99888","99","99","9999999","99","9","00","043","0000468",1421,"3","1"
"0002283","02","1","01","01","1","9999888","99888","36","24","9999999","99","9","00","044","0000469",1422,"4","1"
"0002289","03","1","02","01","1","0169000","03200","36","12","0035000","99","9","00","044","0000471",1191,"4","1"
"0002294","03","1","02","01","2","0200000","05000","72","58","0182000","33","0","00","043","0000473",1539,"3","1"
"0002298","01","1","03","01","2","0200000","06000","48","21","0100000","05","0","00","043","0000475",1657,"3","1"
"0002300","03","1","02","01","2","0255000","04200","48","10","0042000","99","9","00","043","0000475",1657,"3","1"
"0002322","04","1","01","01","4","","","","","","","","","043","0000482",1635,"3","1"
"0002339","05","1","02","01","1","0200000","03200","48","24","0100000","99","9","00","043","0000486",1557,"3","1"
"0002349","01","1","01","01","3","0420000","09200","60","36","0420000","09","5","00","044","0000490",1398,"4","1"
"0002351","05","1","03","01","1","0250000","03500","36","18","0063000","05","0","02","044","0000490",1398,"4","1"
"0002369","04","1","02","01","1","0120000","04000","18","08","0032000","99","9","00","047","0000496",1165,"3","1"
"0002399","04","1","02","01","1","0100000","03800","02","01","0050000","15","0","00","048","0000507",1080,"4","1"
"0002415","01","1","01","01","1","0174000","04000","48","11","0048000","07","3","00","048","0000512",928,"4","1"
"0002430","04","1","01","01","2","0037000","04000","48","36","9999999","08","0","00","046","0000516",1669,"2","1"
"0002439","02","1","02","01","1","0150000","03800","60","36","0115000","12","1","01","047","0000519",1513,"3","1"
"0002471","02","1","02","01","1","0170000","03000","60","02","0020000","99","9","00","048","0000527",959,"4","1"
"0002490","05","1","04","01","4","","","","","","","","","052","0000531",1429,"3","2"
"0002519","19","1","02","01","1","0207000","04000","60","12","0048000","99","9","00","057","0000536",2647,"3","2"
"0002530","13","1","01","01","1","0100000","02000","24","05","0010000","99","9","00","057","0000537",2264,"3","2"
"0002545","01","1","04","01","4","","","","","","","","","057","0000541",2797,"2","2"
"0002560","19","1","01","01","4","","","","","","","","","057","0000541",2797,"2","2"
"0002562","04","1","01","01","1","0170000","02800","36","18","9999999","99","9","00","057","0000542",2935,"2","3"
"0002606","13","1","01","01","3","0010000","01000","07","04","0006000","99","9","04","058","0000546",1784,"1","4"
"0002624","15","1","01","01","2","0015000","00250","12","04","0006000","99","9","00","058","0000547",1711,"2","4"
"0002628","19","1","01","01","2","9999999","02800","60","12","0030000","35","0","00","058","0000547",1711,"2","4"
"0002648","02","1","01","01","1","0168000","03600","60","17","0080000","99","9","00","060","0000554",377,"3","1"
"0002649","04","1","02","01","1","0100000","04500","48","12","0060000","99","9","00","060","0000554",377,"3","1"
"0002649","04","1","03","01","4","","","","","","","","","060","0000554",377,"3","1"
"0002651","01","1","01","01","3","0297000","06300","72","65","0290000","03","0","00","060","0000555",355,"3","1"
"0002653","03","1","03","01","2","0120000","03500","60","02","0015000","99","9","00","060","0000555",355,"3","1"
"0002671","04","1","01","01","1","0140000","04000","60","60","0140000","19","0","00","059","0000560",571,"2","1"
